package_name;license
urllib3;MIT License
six;MIT License
botocore;Apache-2.0 License
requests;Apache-2.0 License
python-dateutil;Apache License (text)
certifi;Mozilla Public License (text)
s3transfer;Apache-2.0 License
idna;BSD-3-Clause License
chardet;LGPL-2.1 License
pip;MIT License
setuptools;MIT License
pyyaml;MIT License
jmespath;License not permissive (text)
pyasn1;BSD-2-Clause License
rsa;Apache License (text)
pytz;MIT License
boto3;Apache-2.0 License
numpy;BSD-3-Clause License
awscli;Apache License (text)
colorama;BSD-3-Clause License
wheel;MIT License (text)
futures;Python Software Foundation (text)
markupsafe;BSD-3-Clause License
protobuf;License not permissive (text)
jinja2;BSD-3-Clause License
simplejson;MIT License (text)
cryptography;License not permissive (text)
attrs;MIT License
click;BSD-3-Clause License
importlib-metadata;Apache License (text)
pyasn1-modules;BSD-2-Clause License
future;MIT License
zipp;MIT License
pandas;BSD-3-Clause License
pyparsing;MIT License
cachetools;MIT License
pycparser;License not permissive (text)
oauthlib;BSD-3-Clause License
google-auth;Apache-2.0 License
requests-oauthlib;ISC License
werkzeug;BSD-3-Clause License
decorator;BSD-2-Clause License
scipy;BSD-3-Clause License
packaging;License not permissive (text)
google-api-core;Apache-2.0 License
wcwidth;MIT License (text)
more-itertools;MIT License
grpcio;Apache-2.0 License
googleapis-common-protos;Apache-2.0 License
pytest;MIT License
jsonschema;MIT License
google-cloud-core;Apache-2.0 License
py;MIT License
pluggy;MIT License
pygments;BSD-2-Clause License
psutil;BSD-3-Clause License
flask;BSD-3-Clause License
pyjwt;MIT License
coverage;Apache-2.0 License
scikit-learn;BSD-3-Clause License
pyrsistent;MIT License
itsdangerous;BSD-3-Clause License
wrapt;BSD-2-Clause License
pillow;HPND License (text)
google-cloud-storage;Apache-2.0 License
virtualenv;MIT License
ipaddress;Python Software Foundation (text)
websocket-client;LGPL-2.1 License
pyopenssl;Apache-2.0 License
sqlalchemy;MIT License
entrypoints;MIT License
google-resumable-media;Apache-2.0 License
joblib;BSD-3-Clause License
lxml;BSD-3-Clause License
configparser;MIT License
prompt-toolkit;BSD-3-Clause License
asn1crypto;MIT License
ipython;BSD 3-Clause License (text)
pexpect;ISC License (text)
redis;MIT License
isodate;License not found
httplib2;License not permissive (text)
matplotlib;License not found
ptyprocess;ISC License (text)
mock;BSD-2-Clause License
mccabe;Expat License (text)
google-api-python-client;Apache License (text)
boto;License not permissive (text)
tornado;Apache-2.0 License
defusedxml;Python Software Foundation (text)
tqdm;Mozilla Public License (text)
docker;Apache-2.0 License
traitlets;License not permissive (text)
tensorboard;Apache-2.0 License
appdirs;MIT License (text)
pycodestyle;Expat License (text)
tensorflow;Apache-2.0 License
webencodings;License not permissive (text)
kiwisolver;Modified BSD License (text)
bleach;Apache License (text)
uritemplate;License not permissive (text)
msrest;MIT License
pickleshare;MIT License
tabulate;MIT License
psycopg2-binary;LGPL (text)
bcrypt;Apache-2.0 License
typing;Python Software Foundation (text)
azure-common;MIT License
argparse;Apache License (text)
absl-py;Apache-2.0 License
prometheus-client;Apache-2.0 License
pyzmq;Modified BSD License (text)
soupsieve;MIT License
typed-ast;Python Software Foundation (text)
tensorflow-estimator;Apache-2.0 License
paramiko;LGPL-2.1 License
markdown;License not permissive (text)
pynacl;Apache-2.0 License
atomicwrites;MIT License
gunicorn;License not permissive (text)
lazy-object-proxy;BSD-2-Clause License
pyflakes;MIT License
google-auth-oauthlib;Apache-2.0 License
cycler;BSD-3-Clause License
filelock;Unlicense License
h5py;BSD-3-Clause License
google-auth-httplib2;Apache-2.0 License
google-cloud-bigquery;Apache-2.0 License
gitpython;BSD-3-Clause License
dill;License not permissive (text)
pathlib2;MIT License
toml;MIT License
multidict;Apache-2.0 License
contextlib2;Python Software Foundation (text)
isort;MIT License
funcsigs;Apache License (text)
sqlparse;BSD-3-Clause License
pymongo;Apache-2.0 License
mistune;BSD-3-Clause License
docopt;MIT License
jupyter-client;License not permissive (text)
nbconvert;Modified BSD License (text)
requests-toolbelt;Apache License (text)
notebook;Modified BSD License (text)
testpath;BSD-3-Clause License
pandocfilters;BSD-3-Clause License
pyarrow;Apache-2.0 License
terminado;License not permissive (text)
send2trash;BSD-3-Clause License
oauth2client;Apache-2.0 License
babel;License not permissive (text)
pytest-cov;MIT License
azure-storage-common;MIT License
retrying;Apache-2.0 License
jedi;MIT License (text)
aiohttp;Apache License (text)
scandir;BSD-3-Clause License
parso;MIT License (text)
astroid;LGPL-2.1 License
gast;BSD-3-Clause License
async-timeout;Apache License (text)
pylint;GPL-2.0 License
keras-preprocessing;MIT License (text)
yarl;Apache-2.0 License
adal;MIT License (text)
networkx;License not permissive (text)
zope-interface;License not permissive (text)
django;License not permissive (text)
ujson;License not permissive (text)
py4j;License not permissive (text)
keras-applications;MIT License (text)
pymysql;MIT License
datadog;License not permissive (text)
cloudpickle;License not permissive (text)
qtconsole;BSD-3-Clause License
dnspython;ISC License (text)
mako;MIT License
jupyter;BSD-3-Clause License
tensorflow-metadata;Apache-2.0 License
xlrd;License not permissive (text)
pycrypto;EPL (text)
astor;BSD-3-Clause License
backcall;BSD-3-Clause License
backports-functools-lru-cache;MIT License
cython;Apache License (text)
azure-devops;MIT License
pycryptodomex;License not permissive (text)
msgpack;Apache License (text)
greenlet;MIT License (text)
smart-open;MIT License
xmltodict;MIT License
google-pasta;Apache-2.0 License
backports-shutil-get-terminal-size;MIT License
google-cloud-logging;Apache-2.0 License
elasticsearch;Apache-2.0 License
tensorflow-transform;Apache-2.0 License
python-editor;Apache-2.0 License
ansible;GPL-3.0 License
gitdb2;License not permissive (text)
tzlocal;MIT License
msrestazure;MIT License
distro;Apache-2.0 License
importlib-resources;Apache License (text)
grpc-google-iam-v1;Apache-2.0 License
jsonpickle;License not permissive (text)
backports-abc;Python Software Foundation (text)
functools32;Python Software Foundation (text)
ruamel-yaml;MIT License
pyspark;Apache-2.0 License
websockets;BSD-3-Clause License
nltk;Apache-2.0 License
gevent;MIT License (text)
gensim;LGPL-2.1 License
cached-property;BSD-3-Clause License
