Package name;Final URL
python-dateutil;https://github.com/dateutil/dateutil
docutils;https://github.com/docutils/docutils
awscli;https://github.com/aws/aws-cli
cffi;https://github.com/cffi/cffi
future;https://github.com/pythoncharmers/python-future
grpcio;https://github.com/grpc/grpc
pexpect;https://github.com/pexpect/pexpect
tensorflow-estimator;https://github.com/tensorflow/estimator
h5py;https://github.com/h5py/h5py
contextlib2;https://github.com/jazzband/contextlib2
funcsigs;https://github.com/testing-cabal/funcsigs
docopt;https://github.com/docopt/docopt
jupyter-client;https://github.com/jupyter/jupyter_client
requests-toolbelt;https://github.com/requests/toolbelt
pyarrow;https://github.com/apache/arrow
babel;https://github.com/babel/babel
typing-extensions;https://github.com/python/typing
py4j;https://github.com/bartdag/py4j
dnspython;https://github.com/rthalley/dnspython
jupyter;https://github.com/jupyter/jupyter
xlrd;https://github.com/python-excel/xlrd
cython;https://github.com/cython/cython
alembic;https://github.com/alembic/alembic
ruamel-yaml;https://github.com/pypa/setuptools
pyspark;https://github.com/apache/spark
mypy;https://github.com/python/mypy
thrift;https://github.com/apache/thrift
unidecode;https://github.com/avian2/unidecode
bottle;https://github.com/bottlepy/bottle
s3cmd;https://github.com/s3cmd/s3cmd
blinker;https://github.com/jek/blinker
uwsgi;https://github.com/unbit/uwsgi-docs
grpcio-tools;https://github.com/grpc/grpc
pygithub;https://github.com/pygithub/pygithub
fabric;https://github.com/fabric/fabric
pyxdg;https://github.com/takluyver/pyxdg
xlwt;https://github.com/python-excel/xlwt
heapdict;https://github.com/danielstutzbach/heapdict
tensorflow-gpu;https://github.com/tensorflow/tensorflow
hyperopt;https://github.com/hyperopt/hyperopt
webtest;https://github.com/pylons/webtest
anyjson;https://github.com/ask/carrot
rospkg;https://github.com/ros-infrastructure/rospkg
datashape;https://github.com/blaze/datashape
statistics;https://github.com/python/cpython
scikit-optimize;https://github.com/scikit-optimize/scikit-optimize
jupyterlab;https://github.com/jupyterlab/jupyterlab
theano;https://github.com/theano/theano
cvxopt;https://github.com/cvxopt/cvxopt
milksnake;https://github.com/getsentry/milksnake
objectpath;https://github.com/adriank/objectpath
atlassian-jwt-auth;https://github.com/atlassian/asap-authentication-python
mpi4py;https://github.com/mpi4py/mpi4py
ibm-db-sa;https://github.com/ibmdb/python-ibmdbsa
wget;https://github.com/wget/wget
httpretty;https://github.com/gabrielfalcao/httpretty
pywebhdfs;https://github.com/pywebhdfs/pywebhdfs
mongomock;https://github.com/mongomock/mongomock
locustio;https://github.com/locustio/locust
dash;https://github.com/plotly/dash
cftime;https://github.com/unidata/cftime
tf-estimator-nightly;https://github.com/tensorflow/estimator
capstone;https://github.com/aquynh/capstone
pathlib-mate;https://github.com/machu-gwu/pathlib_mate-project
request;https://github.com/request/request
post;https://github.com/post/post
boxsdk;https://github.com/box/box-python-sdk
gevent-websocket;https://github.com/methane/wsaccel
pylibmc;https://github.com/lericson/pylibmc
palettable;https://github.com/jiffyclub/palettable
django-rest-framework;https://github.com/encode/django-rest-framework
httpagentparser;https://github.com/shon/httpagentparser
mando;https://github.com/rubik/mando
logging;https://github.com/logging/logging
numpydoc;https://github.com/numpy/numpydoc
progressbar;https://github.com/niltonvolpato/python-progressbar
hacking;https://github.com/jcrocholl/pep8
pywinauto;https://github.com/pywinauto/pywinauto
onnxruntime;https://github.com/microsoft/onnxruntime
limits;https://github.com/alisaifee/limits
ortools;https://github.com/google/or-tools
htcondor;https://github.com/htcondor/htcondor
civis;https://github.com/civisanalytics/civis-python
m2crypto;https://github.com/m2crypto/m2crypto
deepmerge;https://github.com/toumorokoshi/deepmerge
compatibility-lib;https://github.com/googlecloudplatform/cloud-opensource-python
osqp;https://github.com/oxfordcontrol/osqp-python
gsutil;https://github.com/googlecloudplatform/gsutil
sphinx-autobuild;https://github.com/garetjax/sphinx-autobuild
tlslite;https://github.com/moxie0/convergence
pytest-pep8;https://github.com/jcrocholl/pep8
createsend;https://github.com/campaignmonitor/createsend-python
fastcluster;https://github.com/dmuellner/fastcluster
nimbusml;https://github.com/microsoft/nimbusml
python-heatclient;https://github.com/openstack/python-heatclient
testresources;https://github.com/testresources/testresources
pycontracts;https://github.com/andreacensi/contracts
testrepository;https://github.com/testing-cabal/testrepository
comet-ml;https://github.com/comet-ml/comet-ml
pyopengl;https://github.com/mcfletch/pyopengl
eyed3;https://github.com/nicfit/eyed3
meson;https://github.com/mesonbuild/meson
pysmb;https://github.com/miketeo/pysmb
gdata;https://github.com/google/gdata-python-client
homeassistant;https://github.com/home-assistant/core
pylama;https://github.com/klen/pylama
tf-nightly;https://github.com/tensorflow/tensorflow
wxpython;https://github.com/wxwidgets/phoenix
deap;https://github.com/deap/deap
patool;https://github.com/wummel/patool
django-configurations;https://github.com/jazzband/django-configurations
ipfshttpclient;https://github.com/ipfs-shipyard/py-ipfs-http-client
pyramid-tm;https://github.com/pylons/pyramid_tm
pysolar;https://github.com/pingswept/pysolar
aiokafka;https://github.com/aio-libs/aiokafka
ovs;https://github.com/openvswitch/ovs
web-py;https://github.com/webpy/webpy
websocket;https://github.com/websocket/websocket
petname;https://github.com/petname/petname
repoze-who;https://github.com/repoze/repoze.who
sphinxcontrib-napoleon;https://github.com/numpy/numpy
pbkdf2;https://github.com/dlitz/python-pbkdf2
bashate;https://github.com/pycqa/pycodestyle
xlutils;https://github.com/python-excel/xlutils
cloudinary;https://github.com/cloudinary/pycloudinary
fastai;https://github.com/fastai/fastai
twitter;https://github.com/sixohsix/twitter
streamlit;https://github.com/streamlit/streamlit
pyramid-debugtoolbar;https://github.com/pylons/pyramid_debugtoolbar
kivy;https://github.com/kivy/kivy
simplekml;https://github.com/eisoldt/simplekml
pyviz-comms;https://github.com/holoviz/holoviz
browsermob-proxy;https://github.com/automatedtester/browsermob-proxy-py
gdal;https://github.com/osgeo/gdal
bpython;https://github.com/bpython/bpython
holoviews;https://github.com/holoviz/holoviews
taskflow;https://github.com/taskflow/taskflow
hpsklearn;https://github.com/hyperopt/hyperopt-sklearn
pysal;https://github.com/pysal/pysal
tensorflow-cpu;https://github.com/tensorflow/tensorflow
logger;https://github.com/logger/logger
pylzma;https://github.com/fancycode/pylzma
geoip;https://github.com/geoip/geoip
twitter-ads;https://github.com/twitterdev/twitter-python-ads-sdk
stem;https://github.com/torproject/stem
twitter-common-app;https://github.com/twitter/commons
plotly-express;https://github.com/plotly/plotly_express
pydns;https://github.com/pydns/pydns
pytorch;https://github.com/pytorch/pytorch
rook;https://github.com/rook/rook
sphinx-bootstrap-theme;https://github.com/ryan-roemer/sphinx-bootstrap-theme
lmfit;https://github.com/lmfit/lmfit-py
mechanicalsoup;https://github.com/mechanicalsoup/mechanicalsoup
pyqtgraph;https://github.com/pyqtgraph/pyqtgraph
python-jsonschema-objects;https://github.com/cwacek/python-jsonschema-objects
simhash;https://github.com/leonsim/simhash
python-igraph;https://github.com/igraph/python-igraph
python-mistralclient;https://github.com/openstack/python-mistralclient
salt;https://github.com/saltstack/salt
pomegranate;https://github.com/pomegranate/pomegranate
slugid;https://github.com/taskcluster/slugid.py
bpemb;https://github.com/bheinzerling/bpemb
ryu;https://github.com/osrg/ryu
pypowervm;https://github.com/powervm/pypowervm
python-owasp-zap-v2-4;https://github.com/zaproxy/zap-api-python
openexr;https://github.com/openexr/openexr
teradatasql;https://github.com/teradata/python-driver
optunity;https://github.com/claesenm/optunity
update;https://github.com/update/update
plaidml;https://github.com/plaidml/plaidml
simpy;https://github.com/r-simmer/simmer
chargebee;https://github.com/chargebee/chargebee-python
python-firebase;https://github.com/ozgur/python-firebase
cloudbridge;https://github.com/cloudve/cloudbridge
zc-buildout;https://github.com/buildout/buildout
yaql;https://github.com/openstack/yaql
django-hijack-admin;https://github.com/arteria/django-hijack
json-minify;https://github.com/getify/json.minify
pyramid-beaker;https://github.com/pylons/pyramid_beaker
django-slack;https://github.com/lamby/django-slack
service-identity;https://github.com/pyca/service-identity
spacy;https://github.com/explosion/spacy
msal-extensions;https://github.com/azuread/microsoft-authentication-extensions-for-python
github3-py;https://github.com/psf/requests
chart-studio;https://github.com/plotly/ruby-api
asyncssh;https://github.com/ronf/asyncssh
oss2;https://github.com/aliyun/aliyun-oss-python-sdk
ocspresponder;https://github.com/wbond/ocspbuilder
hypercorn;https://github.com/python-hyper/hyper-h2
